filename,psnr,ssim,inference_time
1.png,8.735984,0.448175,0.059628
111.png,6.753143,0.359061,0.001106
146.png,8.079858,0.470169,0.001577
179.png,14.882948,0.655392,0.001352
22.png,7.510722,0.409848,0.001416
23.png,5.374288,0.198906,0.001220
493.png,12.286648,0.323985,0.001426
547.png,10.628287,0.454128,0.001288
55.png,5.320009,0.194450,0.001457
665.png,7.723232,0.241408,0.001267
669.png,8.083225,0.379245,0.001357
748.png,11.675911,0.439362,0.001678
778.png,10.123138,0.260960,0.001208
780.png,13.994877,0.458976,0.001408
79.png,6.427378,0.398480,0.001004
AVERAGE,9.173310,0.379503,0.005226
