filename,psnr,ssim,inference_time
1.png,11.764530,0.737094,0.000244
111.png,9.501949,0.641199,0.000222
146.png,11.487974,0.744326,0.000287
179.png,20.589528,0.844416,0.000246
22.png,10.098174,0.650877,0.000441
23.png,7.027766,0.387185,0.000221
493.png,15.551765,0.618513,0.000249
547.png,14.772054,0.758188,0.000243
55.png,6.835142,0.372366,0.000207
665.png,9.789703,0.473858,0.000215
669.png,11.121366,0.671101,0.000211
748.png,16.129877,0.761934,0.000188
778.png,12.581462,0.494750,0.000307
780.png,19.320675,0.760044,0.000229
79.png,8.919755,0.643526,0.000273
AVERAGE,12.366115,0.637292,0.000252
