filename,psnr,ssim,inference_time
1.png,20.642897,0.839044,0.011249
111.png,24.810160,0.919909,0.013554
146.png,25.191960,0.890770,0.012474
179.png,12.233810,0.623546,0.012187
22.png,23.822137,0.882545,0.011902
23.png,19.400024,0.810984,0.012007
493.png,12.966633,0.524985,0.014169
547.png,19.589578,0.864689,0.014221
55.png,18.973920,0.848893,0.011040
665.png,20.785080,0.836875,0.015618
669.png,24.313377,0.884196,0.011578
748.png,21.918927,0.855317,0.013026
778.png,19.441061,0.710862,0.012362
780.png,22.813460,0.783462,0.011540
79.png,21.127717,0.936879,0.012065
AVERAGE,20.535383,0.814197,0.012599
