filename,psnr,ssim,inference_time
1.png,19.114811,0.803794,0.012934
111.png,18.678916,0.874717,0.014998
146.png,19.733436,0.841031,0.012505
179.png,14.075143,0.631816,0.011865
22.png,23.027047,0.854179,0.012626
23.png,17.531085,0.756187,0.015939
493.png,11.530000,0.464744,0.016164
547.png,21.815890,0.843239,0.011471
55.png,18.292713,0.798461,0.015108
665.png,21.466116,0.806189,0.011058
669.png,22.994851,0.855437,0.013994
748.png,25.007363,0.828497,0.013707
778.png,19.921955,0.678127,0.012154
780.png,22.433616,0.761276,0.013983
79.png,22.144596,0.903719,0.012014
AVERAGE,19.851169,0.780094,0.013368
