filename,psnr,ssim,inference_time
1.png,16.782185,0.693663,0.311072
111.png,15.359418,0.584993,0.320605
146.png,15.337048,0.546542,0.310204
179.png,10.307798,0.338740,0.312742
22.png,17.156093,0.653859,0.307437
23.png,15.392946,0.547028,0.312790
493.png,11.878331,0.504328,0.312500
547.png,15.327103,0.515324,0.307551
55.png,15.082650,0.614891,0.307939
665.png,15.769216,0.432051,0.303973
669.png,15.640777,0.520703,0.313145
748.png,13.018093,0.463093,0.292443
778.png,14.768412,0.596661,0.296421
780.png,10.577105,0.346921,0.305358
79.png,14.606450,0.654193,0.309081
AVERAGE,14.466908,0.534199,0.308217
