filename,psnr,ssim,inference_time
1.png,20.752749,0.839143,0.004820
111.png,19.113590,0.872959,0.006266
146.png,23.784495,0.862924,0.004954
179.png,15.032451,0.661537,0.005384
22.png,22.521396,0.856397,0.005988
23.png,17.383250,0.797106,0.005555
493.png,16.158954,0.582175,0.005380
547.png,17.391202,0.819585,0.004474
55.png,17.819351,0.833240,0.005236
665.png,24.213743,0.836161,0.004495
669.png,24.243127,0.859480,0.005670
748.png,23.238908,0.844164,0.004922
778.png,21.677518,0.735762,0.004685
780.png,19.510376,0.731451,0.004987
79.png,23.034446,0.898980,0.004501
AVERAGE,20.391704,0.802071,0.005154
