epoch,model,loss,train_loss,lr
1,ms_se_unet,combined,0.248955,0.0001
2,ms_se_unet,combined,0.215313,0.0001
3,ms_se_unet,combined,0.194326,0.0001
4,ms_se_unet,combined,0.180243,0.0001
5,ms_se_unet,combined,0.168272,0.0001
6,ms_se_unet,combined,0.164505,0.0001
7,ms_se_unet,combined,0.154072,0.0001
8,ms_se_unet,combined,0.145903,0.0001
9,ms_se_unet,combined,0.143687,0.0001
10,ms_se_unet,combined,0.138125,0.0001
11,ms_se_unet,combined,0.136798,0.0001
12,ms_se_unet,combined,0.130749,0.0001
13,ms_se_unet,combined,0.127570,0.0001
14,ms_se_unet,combined,0.125742,0.0001
15,ms_se_unet,combined,0.123210,0.0001
16,ms_se_unet,combined,0.124152,0.0001
17,ms_se_unet,combined,0.124137,0.0001
18,ms_se_unet,combined,0.120636,0.0001
19,ms_se_unet,combined,0.119197,0.0001
20,ms_se_unet,combined,0.117778,0.0001
21,ms_se_unet,combined,0.119005,0.0001
22,ms_se_unet,combined,0.116734,0.0001
23,ms_se_unet,combined,0.115443,0.0001
24,ms_se_unet,combined,0.117861,0.0001
25,ms_se_unet,combined,0.115188,0.0001
26,ms_se_unet,combined,0.112559,0.0001
27,ms_se_unet,combined,0.112183,0.0001
28,ms_se_unet,combined,0.114265,0.0001
29,ms_se_unet,combined,0.110687,0.0001
30,ms_se_unet,combined,0.114211,0.0001
