epoch,model,loss,train_loss,lr
1,ms_se_unet,l1,0.163479,0.0001
2,ms_se_unet,l1,0.147883,0.0001
3,ms_se_unet,l1,0.139798,0.0001
4,ms_se_unet,l1,0.134986,0.0001
5,ms_se_unet,l1,0.129007,0.0001
6,ms_se_unet,l1,0.125069,0.0001
7,ms_se_unet,l1,0.121053,0.0001
8,ms_se_unet,l1,0.114386,0.0001
9,ms_se_unet,l1,0.113125,0.0001
10,ms_se_unet,l1,0.110739,0.0001
11,ms_se_unet,l1,0.105068,0.0001
12,ms_se_unet,l1,0.102212,0.0001
13,ms_se_unet,l1,0.097156,0.0001
14,ms_se_unet,l1,0.095626,0.0001
15,ms_se_unet,l1,0.095398,0.0001
16,ms_se_unet,l1,0.092775,0.0001
17,ms_se_unet,l1,0.089206,0.0001
18,ms_se_unet,l1,0.088922,0.0001
19,ms_se_unet,l1,0.088982,0.0001
20,ms_se_unet,l1,0.085623,0.0001
21,ms_se_unet,l1,0.080722,0.0001
22,ms_se_unet,l1,0.085609,0.0001
23,ms_se_unet,l1,0.081547,0.0001
24,ms_se_unet,l1,0.081850,0.0001
25,ms_se_unet,l1,0.078702,0.0001
26,ms_se_unet,l1,0.081092,0.0001
27,ms_se_unet,l1,0.079015,0.0001
28,ms_se_unet,l1,0.078937,0.0001
29,ms_se_unet,l1,0.075482,0.0001
30,ms_se_unet,l1,0.076910,0.0001
